FID,My_FID3,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Start_Date,End_Date,References,Type_URL,X,Y,Time_span
81,267,Quiotepeque, ,Quiotepec,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.98194444,17.89944444,https://en.wikipedia.org/wiki/16th_century
138,272,Sabaje, ,Matatlan,1, ,Sujeto,168,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-96.38194444,16.86388889,https://en.wikipedia.org/wiki/16th_century
178,283,San Felipe de Tetiquipa,San Felipe,San Felipe (Manzanillo),2, ,Sujeto,367,Depends on,,,Acuña 1984;Google Maps;unikloc10gw, ,-96.45174164,16.13493193,https://en.wikipedia.org/wiki/16th_century
83,287,San Ildefonso, ,San Ildefonso Villa Alta,1, ,Villa,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-96.152778,17.338889,https://en.wikipedia.org/wiki/16th_century
6,290,San Juan de Ulúa, ,Castillo San Juan de Ulúa,1, , ,0, ,,,Acuña 1984;Toponimos50k,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.12785417,19.21096055,https://en.wikipedia.org/wiki/16th_century
179,293,San Marcial de Tetiquipa,San Marcial,Loma San Marcial,2, ,Sujeto,367,Depends on,,,Acuña 1984;Google Maps;unikloc10gw, ,-96.46027932,16.13577313,https://en.wikipedia.org/wiki/16th_century
28,295,San Martín de la Sierra, ,Lachiguiri,1, ,Sujeto,344,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-95.53055556,16.68555556,https://en.wikipedia.org/wiki/16th_century
121,302,Santa  Cruz Itztepec, ,Mixtepec,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.88083333,16.79166667,https://en.wikipedia.org/wiki/16th_century
201,313,Volcán y Sierra Nevada, ,Iztaccihuatl,1, ,Volcano,0, ,,,Acuña 1984;Toponimos50k,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1209,-98.64196194,19.17833389,https://en.wikipedia.org/wiki/16th_century
115,315,Soconusco, ,Soconusco,1, , ,0, ,,,Acuña 1984;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-94.88,17.96222222,https://en.wikipedia.org/wiki/16th_century
202,316,Tzontzonate, ,Sonsonate,1, , ,0, ,,,Acuña 1984;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-89.72827928,13.72125131,https://en.wikipedia.org/wiki/16th_century
25,317,Suchistlahuaca, ,Xochistlahuaca,1, ,Cabecera,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-98.24222222,16.79083333,https://en.wikipedia.org/wiki/16th_century
32,319,Suchitepec,Suchitepeque,Xadani,1, ,Cabecera,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-96.07361111,15.94888889,https://en.wikipedia.org/wiki/16th_century
203,320,Suchitepéquez, ,Mazatenango,2,It's a region. Coordinates on the current capital, ,0, ,,,Acuña 1984;Allocated by Research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-91.50332827,14.53403369,https://en.wikipedia.org/wiki/16th_century
120,321,Suchitlan,Suchitlan San Vicente;Suchitan,Juchitan,1, ,Sujeto,344,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-95.01944444,16.43333333,https://en.wikipedia.org/wiki/16th_century
40,322,Suchitonala, ,Xochuitonala (Tonala),1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.05416667,16.86,https://en.wikipedia.org/wiki/16th_century
173,324,Taliztaca,Talistaca;Yatiqui;Ñu Cuisi,Tlalixtac,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.64888889,17.07083333,https://en.wikipedia.org/wiki/16th_century
61,327,Tamazola,San José;Yahua;Tamazula,San Juan Tamazola,1, , ,0, ,,,Acuña 1984;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.22356092,17.15878298,https://en.wikipedia.org/wiki/16th_century
140,328,Tamazulapa, ,Tamazulapam,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.57138889,17.675,https://en.wikipedia.org/wiki/16th_century
151,331,Tanatepeque, ,Analco,1, ,Sujeto,256,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-96.53888889,17.40666667,https://en.wikipedia.org/wiki/16th_century
16,337,Minas de Taxco, ,Taxco,1, ,Mining Camp,0, ,,,Acuña 1984;Google Maps;Google Earth;unikloc10gw,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-99.600478,18.559217,https://en.wikipedia.org/wiki/16th_century
142,338,Tecoac,San Jerónimo Tecoac;San Jerónimo,San Jerónimo Tecoatl,1, ,Sujeto,374,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-96.912607,18.167193,https://en.wikipedia.org/wiki/16th_century
107,339,Tecolutla,San Juan Bautista Tecolutla,Tecolutla,1, ,Cabecera,374,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-97.05833333,18.04611111,https://en.wikipedia.org/wiki/16th_century
91,342,Tecuicuilco,Quiaguie;Quia Guie;Quia Yye,Teococuilco De Marcos Perez,1, , ,0, ,,,Acuña 1984;Google Maps;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.61177008,17.35346737,https://en.wikipedia.org/wiki/16th_century
56,343,Tehuacan, ,Tehuacan,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.39194444,18.46111111,https://en.wikipedia.org/wiki/16th_century
103,344,Tehuantepec,Teguantepeque;Tequantepec;Cerro del Tigre,Santo Domingo Tehuantepec,1, ,Villa,0, ,,,Acuña 1984;INEGI: MEX_topoloc, ,-95.24141798,16.32140045,https://en.wikipedia.org/wiki/16th_century
