FID,My_FID5,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,My_FID5,Type2,FID_Relat2,References,Type_URL,Time_span,X,Y
323,30,Fuente de Altitlan, ,Balneario de Aguas Termales de Huehuetlan,2, ,Source,188,Within,30, ,0,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=48,https://en.wikipedia.org/wiki/16th_century,-98.175115,18.756867
33,31,Río Alvarado, , ,1, ,River,0, ,31, ,0,Acuña 1985;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,https://en.wikipedia.org/wiki/16th_century,-95.78245925,18.74204409
395,32,Laguna de San Jerónimo Alxoxhuacan, ,Laguna Aljojuca,1, ,Lake,528,Near,32, ,0,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=596,https://en.wikipedia.org/wiki/16th_century,-97.53427,19.09161
416,33,Alxoxocan,Alxoxocan de Tlaculula,Alxoxuca,1, ,Sujeto,603,Depends on,33, ,0,Acuña 1985;GeoNames_MX, ,https://en.wikipedia.org/wiki/16th_century,-96.832222,19.37666
483,34,Estrecho de Magallanes, ,Estrecho de Magallanes,1, , ,0, ,34, ,0,GoogleMaps, ,https://en.wikipedia.org/wiki/16th_century,-70.79557875,-53.5696651
12,35,Amatlan, ,Amatitlan,1, , ,0, ,35, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-95.73583333,18.43444444
484,36,Perú, ,Perú,1, , ,0, ,36, ,0,GoogleMaps, ,https://en.wikipedia.org/wiki/16th_century,-76.6674997,-9.325485278
308,37,Laguna de Amatzcalapan,Amatzcalapan,Laguna del Marques,1, ,Lake,90,Near,37, ,0,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=596,https://en.wikipedia.org/wiki/16th_century,-95.46603,18.66177
21,38,Amiztlan, ,Amixtlan,1, , ,0, ,38, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-97.79833333,20.04861111
75,39,Ángeles,Ciudad de los Ángeles;Puebla;Puebla de los Angeles,Heroica Puebla de Zaragoza,1, , ,0, ,39, ,0,Acuña 1985;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.197222,19.043889
247,40,Punta de Antón Nizardo, ,Antón Lizardo,1, , ,0, ,40, ,0,Acuña 1985;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-95.98599728,19.06012023
334,41,Rio de Aolizapan, ,Rio Blanco,1, ,River,528,Near,41, ,0,Acuña 1985;Garcia Marquez 2005,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,https://en.wikipedia.org/wiki/16th_century,-97.10676,18.83372
485,42,Roma, ,Basílica de San Pedro,1, , ,0, ,42, ,0,GoogleMaps, ,https://en.wikipedia.org/wiki/16th_century,12.45337236,41.90214743
103,43,Apoala, ,Apoala,1, , ,0, ,43, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-97.13888889,17.65
486,44,Meca,La Meca,Meca,1, , ,0, ,44, ,0,GoogleMaps, ,https://en.wikipedia.org/wiki/16th_century,39.82531638,21.42212666
175,45,San Jerónimo Asuchitlan,Asuchitlan,Axochitlan,1, ,Estancia,774,Depends on,45, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-97.26138889,18.27944444
297,46,Atastlan,Pataxtlan, ,2,Dissapeared. Glosa de la pintura de Veracruz,Pueblo,0, ,46, ,0,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.03972,18.46966
424,47,Atezcac, ,Atexcatl,1, ,Cabecera,28,Depends on,47, ,0,Acuña 1985;GeoNames_MX;Allocated by research, ,https://en.wikipedia.org/wiki/16th_century,-96.698889,19.471667
487,48,Nueva España, ,México,1, , ,0, ,48, ,0,Allocated by research, ,https://en.wikipedia.org/wiki/16th_century,-99.12477328,19.45212213
222,49,Tlatiloyan,Atlatiloyan, ,2, , ,0, ,49, ,0,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.69902194,20.00864894
139,50,Atliacan, ,Atliaca,1, ,Estancia,655,Depends on,50, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-99.375,17.65055556
488,51,Tabasco, ,Tabasco,1, , ,0, ,51, ,0,Acuña 1985;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-92.919167,17.987778
147,52,Atlicintla,Atlacintla;Alvarado;Catlan,Alvarado,1, ,Estancia,667,Depends on,52, ,0,Acuña 1985;Atlas 2010, ,https://en.wikipedia.org/wiki/16th_century,-95.763889,18.774167
27,53,Atliquizayan, ,Atlequizayan,1, ,Sujeto,281,Depends on,53, ,0,Acuña 1985;Google Maps;Google Earth;unikloc10gw, ,https://en.wikipedia.org/wiki/16th_century,-97.624784,20.013877
57,54,Atlixco, ,Atlixco,1, , ,0, ,54, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.47333333,18.97722222
53,55,Tlapan, ,Tlapa,1, ,Cabecera,0, ,55, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-98.57638889,17.54611111
77,56,Atoyac,Atoyaque,Atoyac,1, , ,0, ,56, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.13194444,17.79861111
256,57,Río Grande de Atoyac,Río de Cholula;Río de la Ciudad de los Ángeles, ,1, ,River,0, ,57, ,0,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,https://en.wikipedia.org/wiki/16th_century,-98.22430629,19.02985028
489,58,Xalisco,Jalisco,Xalisco,1, , ,0, ,58, ,0,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-104.9013889,21.44388889
125,59,Axuchitlan, ,Ajuchitlan Del Progreso,1, , ,0, ,59, ,0,Acuña 1985;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-100.4986174,18.15850658
94,60,Santiago Ayahualulco,Santiago;Ayahualulco,Ayahualulco,1, ,Estancia,224,Depends on,60, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-97.14861111,19.34972222
361,61,Ayauhtlan, , ,2,Dissapeared. Glosa de la pintura de Veracruz,Pueblo,0, ,61, ,0,Acuña 1985;GeoNames_MX;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.92984,18.93993
490,62,Yucatán, ,Yucatán,1, , ,0, ,62, ,0,GoogleMaps, ,https://en.wikipedia.org/wiki/16th_century,-89.36894743,19.19480396
491,63,Las Indias,Nuevo Mundo,Las Indias Occidentales,1, , ,0, ,63, ,0,Allocated by research, ,https://en.wikipedia.org/wiki/16th_century,-75.351208,19.24294408
457,64,San Francisco Ayotuchco, , ,2,Dissapeared. It could be the modern town called Ayotox. one league to the south from Xonotla.,Sujeto,725,Depends on,64, ,0,Acuña 1985;GeoNames_MX, ,https://en.wikipedia.org/wiki/16th_century,-97.602222,20.003889
168,65,Ayuquila, ,Ayuquililla,1, ,Estancia,329,Depends on,65, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-97.95555556,17.93055556
84,66,Ayutla, ,Ayutla De Los Libres,1, , ,0, ,66, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-99.09694444,16.96472222
393,68,El Batel, ,Isla de En medio,2,Glosa de la pintura de Tlacotalpa,Island,0, ,68, ,0,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=575,https://en.wikipedia.org/wiki/16th_century,-95.9278,19.06517
183,69,Isla Blanca, ,Isla Blanquilla,1, ,Island,0, ,69, ,0,Acuña 1985;Toponimos50k,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=575,https://en.wikipedia.org/wiki/16th_century,-96.097985,19.22739
453,71,Buena Vista, ,Buena Vista,2,Four leagues far from the cabecera in direction to the coast.,Estancia,248,Depends on,71, ,0,Acuña 1985;GeoNames_MX;Allocated by research, ,https://en.wikipedia.org/wiki/16th_century,-96.972778,19.950278
394,73,Cabeza de Varado, ,Arrecife de Cabeza,1, ,Reef,667,Near,73, ,0,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=921,https://en.wikipedia.org/wiki/16th_century,-95.85,19.06667
32,74,Cacahuatzintla,Quaquauhtzintlan;Quaquautzintla;Cacahuçintla,Coacoatzintla,1, ,Cabecera,28,Depends on,74, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-96.94416667,19.6525
434,75,Cacalotlan, , ,2,Dissapeared. Glosa de la pintura de Veracruz,Pueblo,0, ,75, ,0,Acuña 1985;GeoNames_MX;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.40386,19.68416
