FID,My_FID1,Placename,Alt_names,ModernName,Confidence,Notes,FID_Relate,Relation,Start_Date,End_Date,References,Type,Type_URL,X,Y,Time_span
22,250,San Pedro Sula, ,San Pedro Sula,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-88.02413,15.50507,https://en.wikipedia.org/wiki/16th_century
13,251,San Salvador, ,San Salvador,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-89.20681,13.69966,https://en.wikipedia.org/wiki/16th_century
130,253,Santa Ana, ,Santa Ana,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-89.557193,13.990871,https://en.wikipedia.org/wiki/16th_century
198,254,Santa Bárbara, ,Santa Bárbara,2, ,23,Depends on,30/12/1899 00:00:00,30/12/1899 00:00:00,GeoNames_GT,Estancia, ,-91.22695961,14.43573701,https://en.wikipedia.org/wiki/16th_century
199,256,Santa Catarina lxtlahuacán, ,Santa Catarina Ixtahuacán,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,GeoNames_GT,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-91.359447,14.79824809,https://en.wikipedia.org/wiki/16th_century
93,257,Santa Cruz, ,Santa Cruz de Verapaz,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00, , , ,-90.4247,15.3739,https://en.wikipedia.org/wiki/16th_century
201,258,Santa Inés, ,Santa Inés Petapa,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,GeoNames_GT,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-90.53942793,14.48472054,https://en.wikipedia.org/wiki/16th_century
158,264,Santo Tomás la Unión, ,Santo Tomás la Unión,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,GeoNames_GT, , ,-91.41075,14.63219,https://en.wikipedia.org/wiki/16th_century
46,267,Soconusco, ,Soconusco,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;GeoNames_MX, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-92.7268982,15.3163996,https://en.wikipedia.org/wiki/16th_century
23,268,Sonsonate,Zenzonatl;Villa de la Trinidad;Cenzonatle,Sonsonate,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-89.72709624,13.72041183,https://en.wikipedia.org/wiki/16th_century
56,269,Suchitepeque,San Antonio Suchitepeque;Suchitepéquez;Xuchitepéquez;San Antonio;San Antonio Suchitepéquez,San Antonio Suchitepequez,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,GeoNames_GT, , ,-91.41442,14.53938,https://en.wikipedia.org/wiki/16th_century
157,272,Suchitotos,Santa Lucía de Suchitotos,Suchitoto,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-89.0262,13.9354,https://en.wikipedia.org/wiki/16th_century
177,273,Tabasco, ,Villahermosa,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,De la Garza 1983;Atlas 2010,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-92.919167,17.987778,https://en.wikipedia.org/wiki/16th_century
18,274,Tactic,Santa María Tactic,Tactic,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-90.35051,15.31862,https://en.wikipedia.org/wiki/16th_century
41,275,Tacuba, ,Tacuba,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-89.93209,13.90047,https://en.wikipedia.org/wiki/16th_century
123,276,Tacuescalco,Tacuscalco, ,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-89.732002,13.73212,https://en.wikipedia.org/wiki/16th_century
