FID,My_FID4,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Type2,References,Type_URL,Time_span,X,Y
147,44,Llanos de Atzompan, , ,2, , ,0, , ,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.15870264,19.59818921
11,45,Valle de Atzompan,Valle de Atzonpan, ,1, ,Valley,0, , ,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1197,https://en.wikipedia.org/wiki/16th_century,-98.158653,19.58301541
77,46,Atzompan,Santa Clara;Santa Clara Atzompan,Ozumba,1, ,Pueblo,289,Depends on, ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.17987,19.58512
168,47,Aulutla, ,Oluta,1, ,Pueblo,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-94.89638889,17.9275
227,48,Ayoticpac, ,Cuauhtémoc Borough,1, ,Barrio,0, , ,Acuña 1984;Mundy 2015;GeoNames_MX, ,https://en.wikipedia.org/wiki/16th_century,-99.14303,19.4449
270,49,Europa, ,European Commission Headquarters,1, , ,0, , ,GoogleMaps, , ,4.382640682,50.84363906
9,50,Azcaputzalco, ,Azcapotzalco,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-99.18333333,19.48277778
271,51,Canarias, ,Las Palmas de Gran Canaria,1, ,Island,0, , ,GoogleMaps, , ,-15.43129133,28.1352976
253,52,Bacalaos, ,"Newfoundlands, Canada",1,"Newfoundlands, Canada",Province,0, , ,Acuña 1984;Turgeon 2009,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=10,https://en.wikipedia.org/wiki/16th_century,-58.292063,54.531745
146,53,La California, , ,1, , ,0, , ,Acuña 1984;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-113.3414975,27.61283002
