FID,My_FID10,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,,References,Type_URL,X,Y,Time_span
34,113,Ixtlahuacan, ,Ixtlahuacan,1, ,Cabecera,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.40611111,19.16,https://en.wikipedia.org/wiki/16th_century
153,114,Iztapan, ,Ixtapa de la Concepción,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800, ,-103.825,19.45527778,https://en.wikipedia.org/wiki/16th_century
154,115,Iztlan, ,Ixtlan,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800, ,-103.9436111,20.21944444,https://en.wikipedia.org/wiki/16th_century
150,117,Jayamitla, ,Jayamitla (Colmenar),1, ,Sujeto,10,Depends on,,Acuña 1988;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-104.0476406,20.5478536,https://en.wikipedia.org/wiki/16th_century
155,118,Jicotlan, ,Jicotan Nuevo,2, , ,0, ,,Acuña 1988;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.1313711,19.43492025,https://en.wikipedia.org/wiki/16th_century
31,119,Juchimilco,Xochimilco;Suchimilco,Xochimilco,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800, ,-103.7108333,19.78138889,https://en.wikipedia.org/wiki/16th_century
49,120,Juchipila,Xuchipila,Juchipila,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-101.6172222,19.56555556,https://en.wikipedia.org/wiki/16th_century
104,132,Mar del Sur,Océano Pacífico, ,2, ,Sea,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-101.253611,21.015833,https://en.wikipedia.org/wiki/16th_century
105,133,Mar Océano, , ,2, ,Sea,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.7275,20.83333333,https://en.wikipedia.org/wiki/16th_century
1,134,Mazamitla, ,Mazamitla,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.6,20.01027778,https://en.wikipedia.org/wiki/16th_century
62,135,Mazatlan, ,Mazatan,1, ,Sujeto,363,Depends on,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.0175,20.33555555,https://en.wikipedia.org/wiki/16th_century
140,136,Mechuacanejo, ,Mechoacanejo,1, , ,0, ,,Acuña 1988;Atlas 2010, ,-104.605,19.719167,https://en.wikipedia.org/wiki/16th_century
38,137,Melagua,Melaque, ,2, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.7716667,20.35083333,https://en.wikipedia.org/wiki/16th_century
94,138,Mazatlan, ,Mazatan,1, ,Sujeto,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.16,18.77694444,https://en.wikipedia.org/wiki/16th_century
71,139,Mexcala, ,Mezcala,1, , ,0, ,,Acuña 1988;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=575,-71.03738513,19.01809264,https://en.wikipedia.org/wiki/16th_century
138,140,Mezcatique, ,Mezquitic,1, , ,0, ,,Acuña 1988;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,128.1846903,-3.696798059,https://en.wikipedia.org/wiki/16th_century
156,143,Mina La Descubridora,Descubridora,Cerro Gordo,2, ,Mining Camp,0, ,,Acuña 1988;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.5761979,21.43696178,https://en.wikipedia.org/wiki/16th_century
158,145,Amaxaque,Minas de Ingenios de Metales,El Limoncito,2, ,MIning Camp,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800, ,-103.0891667,21.46944444,https://en.wikipedia.org/wiki/16th_century
159,147,Chimaltitlan,Minas de Chimaltitlan,Chimaltitlan,2, ,Mining Camp,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800, ,-102.8455556,21.36055556,https://en.wikipedia.org/wiki/16th_century
161,148,Minas de Coneto,Coneto,Coneto,1, ,Mining Camp,0, ,,Acuña 1988;Atlas 2010, ,-102.6575,21.501944,https://en.wikipedia.org/wiki/16th_century
16,149,Guachinango, ,Huauchinango,1, ,Mining Camp,0, ,,Acuña 1988;Atlas 2010, ,-102.763333,21.337778,https://en.wikipedia.org/wiki/16th_century
68,150,Guanaxuato, ,Guanajuato,1, ,Mining Camp,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800, ,-104.2375,20.27472222,https://en.wikipedia.org/wiki/16th_century
157,151,Minas de Guaxacatlan,Guaxacatlan,Juanacatlán,1, ,Mining Camp,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.995278,20.391389,https://en.wikipedia.org/wiki/16th_century
160,153,Izatlan, ,Etzatlan,1, ,Mining Camp,0, ,,Acuña 1988;Atlas 2010, ,-103.115,20.391389,https://en.wikipedia.org/wiki/16th_century
5,154,Izmiquilpa, ,Ixmiquilpan,1, ,Mining Camp,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-104.315317,19.48213462,https://en.wikipedia.org/wiki/16th_century
10,155,Minas de Las Charcas, ,Charcas,1, ,Mining Camp,0, ,,Acuña 1988;Atlas 2010, ,-104.356944,19.449722,https://en.wikipedia.org/wiki/16th_century
