FID,My_FID10,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,,References,Type_URL,X,Y,Time_span
8,315,Toliman, ,Toliman,1, ,Sujeto,363,Depends on,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=10,-104.1076803,20.55408363,https://en.wikipedia.org/wiki/16th_century
0,316,Toluca, ,Toluca,1, , ,0, ,,Acuña 1988;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=575,-106.5959335,21.62738389,https://en.wikipedia.org/wiki/16th_century
179,317,Tomatlan, ,Tomatlan,1, , ,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-105.156111,21.304722,https://en.wikipedia.org/wiki/16th_century
32,318,Tonala, ,Tonala,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.3925,20.16666667,https://en.wikipedia.org/wiki/16th_century
27,319,Tonaya, ,Tonaya,1, ,Sujeto,328,Depends on,,Acuña 1988;NGA_GNS;Sauer 1990: 70,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.9,19.1,https://en.wikipedia.org/wiki/16th_century
97,322,Tototlan,Cuyna;Cuina,Tototlan,1, , ,0, ,,Acuña 1988;Toponimos50k,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-100.8342278,22.18094666,https://en.wikipedia.org/wiki/16th_century
81,324,Toyagua, ,Toyahua de Abajo,1, ,Sujeto,173,Depends on,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-103.167222,20.509444,https://en.wikipedia.org/wiki/16th_century
180,327,Tuito, ,Tuito,1, , ,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-104.614722,20.921389,https://en.wikipedia.org/wiki/16th_century
42,328,Tuscacuesco, ,Tuxcacuesco,1, ,Cabecera,0, ,,Acuña 1988;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-103.467499,21.90097933,https://en.wikipedia.org/wiki/16th_century
108,329,Tuspa,Tuchpa,Tuxpan,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-104.0805556,20.76472222,https://en.wikipedia.org/wiki/16th_century
56,334,Valle de Banderas,Ciutla,Valle de Vanderas,1, ,Valley,0, ,,Acuña 1988;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-104.5370583,25.12804728,https://en.wikipedia.org/wiki/16th_century
35,335,Valle de Poanas,Poanas;Puana,Río Poanas,2, ,Valley,0, ,,Acuña 1988;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-102.840556,23.229167,https://en.wikipedia.org/wiki/16th_century
119,336,Valle de Súchil,Súchil,Súchil,1, ,Valley,0, ,,Acuña 1988;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-102.2436274,25.26062207,https://en.wikipedia.org/wiki/16th_century
129,339,Jerez, ,Jerez de García Salinas,1, ,Villa,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.883889,23.477222,https://en.wikipedia.org/wiki/16th_century
148,342,Villa de Nuestra Señora de la Asunción, ,Villas de Ntra. Sra. de la Asunción,1, ,Villa,0, ,,Acuña 1988;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=931,-4.028410922,39.85963113,https://en.wikipedia.org/wiki/16th_century
39,343,Villa de Taltenango,Tlaltenango;Taltenango,Tlaltenango,1, ,Villa,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.211667,22.362222,https://en.wikipedia.org/wiki/16th_century
18,344,Villa del Nombre de Dios, ,Nombre de Dios,1, ,Villa,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.567222,22.771667,https://en.wikipedia.org/wiki/16th_century
107,345,Nevado de Colima, , ,1, ,Volcano,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.5152778,20.00972222,https://en.wikipedia.org/wiki/16th_century
106,346,Volcán y Sierra Nevada, ,Iztaccihuatl,1, ,Volcano,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.9088889,21.42777778,https://en.wikipedia.org/wiki/16th_century
46,347,Xalpa, ,Jalpan,1, , ,0, ,,Acuña 1988;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-103.0201281,23.99646018,https://en.wikipedia.org/wiki/16th_century
30,348,Xamain,Jamain,Jamay,1, , ,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-102.9689014,23.44230851,https://en.wikipedia.org/wiki/16th_century
53,352,Xocotitlan,Tecpoyotla;Tecpoyotlan,Jocotitlán,1, , ,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-104.876667,19.371944,https://en.wikipedia.org/wiki/16th_century
15,353,Xocotlan,Jocotlan,Jocotlan,1, , ,0, ,,Acuña 1988;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-99.5835,17.9339,https://en.wikipedia.org/wiki/16th_century
41,354,Xoquilpa, ,Jiquilpan,1, ,Sujeto,363,Depends on,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-103.0728943,23.04610009,https://en.wikipedia.org/wiki/16th_century
54,356,Yagualica,El Agualica,Yahualica,1, , ,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-103.9774109,19.69446537,https://en.wikipedia.org/wiki/16th_century
167,361,Valparaíso, ,Valparaíso,1, , ,0, ,,Acuña 1988;Google Maps, ,-101.9308549,21.35450909,https://en.wikipedia.org/wiki/16th_century
4,362,Zacatula, ,Zacatula,1, , ,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-103.8204137,19.99320431,https://en.wikipedia.org/wiki/16th_century
24,363,Zapotitlan, ,Zapotitlan,1, ,Cabecera,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-102.5547828,21.24957922,https://en.wikipedia.org/wiki/16th_century
7,365,Zapotlan,Otithonitahui,Ciudad Guzman,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-105.2486111,19.94083333,https://en.wikipedia.org/wiki/16th_century
128,367,Ziutepetl,Xiuhtepetl, ,2, ,Hill,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-105.3261111,20.31972222,https://en.wikipedia.org/wiki/16th_century
25,369,Zoyatlan, ,Soyatlan,1, ,Sujeto,201,Depends on,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-103.1166923,23.06722909,https://en.wikipedia.org/wiki/16th_century
