FID,My_FID2,Placename,Alt_names,ModernName,Confidence,Notes,FID_Relate,Relation,Start_Date,End_Date,References,Type,Type_URL,X,Y,Time_span
42,52,Cotlahuixtla,Cuetlahuiztla,Cotahuixtla,1, ,28,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,Pueblo comarcano,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.91111111,17.52833333,https://en.wikipedia.org/wiki/16th_century
21,54,Cozauhtepec, ,San Francisco Cozoaltepec,1, ,0, ,,,Acuña 1984;Google Maps;Google Earth;unikloc10gw, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.723207,15.812197,https://en.wikipedia.org/wiki/16th_century
16,55,Cuahuitlan,Yonoyuto;Iyoyutnu,Cahuitan,1, ,0, ,,,Acuña 1984;unikloc10gw, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.5,16.30027778,https://en.wikipedia.org/wiki/16th_century
67,56,Cuautla,Huautla;Guautla;Pueblo Guautla;Yucuyaha,San Miguel Huautla,1, ,0, ,,,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800,Cabecera, ,-97.14523276,17.74109869,https://en.wikipedia.org/wiki/16th_century
24,57,Cuazontlan, ,San Mateo Del Mar,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-94.98166667,16.21,https://en.wikipedia.org/wiki/16th_century
118,61,Cuextlahuaca, ,Coixtlahuaca,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.32361111,17.72361111,https://en.wikipedia.org/wiki/16th_century
105,62,Cuicatlan,Guetrauaco;San Juan Bautista Cuicatlan,San Juan Bautista Cuicatlan,1, ,0, ,,,Acuña 1984;INEGI: MEX_topoloc, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.96156367,17.80114713,https://en.wikipedia.org/wiki/16th_century
100,63,Río de Cuicatlan, ,San Juan Bautista Cuicatlan,1, ,0, ,,,Acuña 1984;INEGI: MEX_topoloc, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.9640083,17.79214954,https://en.wikipedia.org/wiki/16th_century
82,64,Cuilapa,Cuyolapan;Yuchaca;Sayucu,Villa De Cuilapam,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.78055556,16.99583333,https://en.wikipedia.org/wiki/16th_century
96,67,Cuixtepec, , ,2, ,103, ,,,Acuña 1984;Allocated by research,Sujeto, ,-96.37131204,15.83913498,https://en.wikipedia.org/wiki/16th_century
109,68,Cuzcatlan,Cozcatlan,Coxcatlan,1, ,0, ,,,Acuña 1984;INEGI: MEX_topoloc, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.15064989,18.26664894,https://en.wikipedia.org/wiki/16th_century
212,72,Cerro Chalchihuitepeque,Chalchihuitepeque,Mina Don David Gold,2,4 leagues far from Nexapa,177,Near,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps,Mining Camp,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-96.11499822,16.68187803,https://en.wikipedia.org/wiki/16th_century
220,73,Chapultepeque, ,San Isidro Laguna,2,Pueblo with church,85,Depends on,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Atlas 2010;Cline 1961,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.383056,17.820278,https://en.wikipedia.org/wiki/16th_century
213,74,Sierra Chayaco,Chayaco, ,2, ,418,Near,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps,Mountain Range,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-96.8807609,17.70665998,https://en.wikipedia.org/wiki/16th_century
40,75,Chiapa, ,Chiapa (De Corzo),1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-93.01388889,16.70694444,https://en.wikipedia.org/wiki/16th_century
113,77,Chicahuaztla, ,Chicahuaxtla,1, ,222,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,Pueblo comarcano,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.83833333,17.15555555,https://en.wikipedia.org/wiki/16th_century
43,82,Chichicapa,Quicohualla;Quicocete,San Baltazar Chichicapam,1, ,0, ,,,Acuña 1984;INEGI: MEX_topoloc, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.49182872,16.76187337,https://en.wikipedia.org/wiki/16th_century
120,84,Chinameca, ,Chinameca,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-94.67694444,18.01694444,https://en.wikipedia.org/wiki/16th_century
46,85,Chinantla, ,Valle Real (Nacional),1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.3,17.77638889,https://en.wikipedia.org/wiki/16th_century
214,88,Sierra de los Chontales, , ,2, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Allocated by research,Mountain Range,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-95.86016184,16.37447384,https://en.wikipedia.org/wiki/16th_century
127,90,Ecatepec,Ecatepeque,Ecatepec,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-95.755,16.25972222,https://en.wikipedia.org/wiki/16th_century
141,92,Ejutla,Yxutla;Ejutla de Crespo,Peña De Ejutla,2, ,28,Depends on,,,Acuña 1984;Toponimos50k,Pueblo comarcano,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.90412,17.47624917,https://en.wikipedia.org/wiki/16th_century
90,94,Elotepec,San Juan Elotepec;Quiatohui,Elotepec,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.20972222,16.84444444,https://en.wikipedia.org/wiki/16th_century
63,97,Etla, ,Villa de Etla,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.78333333,17.20611111,https://en.wikipedia.org/wiki/16th_century
123,98,Etlatongo, ,Yucunduche (Etlantongo),1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.27333333,17.415,https://en.wikipedia.org/wiki/16th_century
102,99,Gozaliacaque, ,Cosoleacaque,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-94.63694444,17.99527778,https://en.wikipedia.org/wiki/16th_century
68,101,Guamilula, ,Huamelula,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-95.66527778,16.025,https://en.wikipedia.org/wiki/16th_century
56,102,Guatemala, ,Antigua Guatemala,1, ,0, ,,,Acuña 1984;Google Maps, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-90.73486111,14.54983333,https://en.wikipedia.org/wiki/16th_century
