FID,My_FID7,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,My_FID7,FID_Relat2,Type2,End_Date,References,Type_URL,X,Y,Time_span
111,195,Ocelotepeque, ,Oxolotepec (Villa Cuauhtemoc),1, ,Sujeto,487,Depends on,195,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.55777778,19.43194444,https://en.wikipedia.org/wiki/16th_century
42,197,Ocopetlayucan,Santa María Asunción;Santa María de la Asunción;Santa María Asunción Ocopetlayucan,Tochimilco,1, ,Cabecera,0, ,197,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-98.56179585,18.90521156,https://en.wikipedia.org/wiki/16th_century
4,198,Ocotlan, ,Ocotlan,1, , ,0, ,198,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.47388889,18.14805555,https://en.wikipedia.org/wiki/16th_century
253,199,Ocoxuchitepeque, ,Ocoxochitepec,1, ,Sujeto,455,Depends on,199,0, ,,Acuña 1986;GeoNames_MX, ,-100.26114,19.27016,https://en.wikipedia.org/wiki/16th_century
277,200,Ozumba, ,Manantiales en Alcantarillas,1,"Manantial de agua que dotaba a Tepeapulco desde la actual localidad de Alcantarillas, Hidalgo.",Spring,463,Near,200,0, ,,Acuña 1986;Rivas 2008,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1067,-98.38244,19.79756,https://en.wikipedia.org/wiki/16th_century
251,201,Orocuti, ,Orocutín de Serdán,1, ,Sujeto,523,Depends on,201,0, ,,Acuña 1986;Cline 1976, ,-100.47139,19.26528,https://en.wikipedia.org/wiki/16th_century
14,202,Otlazpa, ,Otlazpa (Piedra Gorda),1, , ,0, ,202,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.35972222,19.80277778,https://en.wikipedia.org/wiki/16th_century
50,203,Otucpan, ,Actopan,1, , ,0, ,203,0, ,,Acuña 1986;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.94287937,20.26906587,https://en.wikipedia.org/wiki/16th_century
119,204,Otumba, ,Otumba,1, , ,0, ,204,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.75472222,19.69694444,https://en.wikipedia.org/wiki/16th_century
125,205,Oztoteticpac, ,San Miguel De Los Ranchos (Oxtotilpan),1, ,Sujeto,487,Depends on,205,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.88472222,19.14805555,https://en.wikipedia.org/wiki/16th_century
52,206,Pánuco, ,Pánuco,1, , ,0, ,206,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.181111,22.053611,https://en.wikipedia.org/wiki/16th_century
63,209,Pilcaya, ,Pilcaya,1, ,Cabecera,0, ,209,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.675,18.74694444,https://en.wikipedia.org/wiki/16th_century
131,210,Pipioltepeque, ,Pipioltepec,1, ,Sujeto,455,Depends on,210,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-100.0966667,19.23944444,https://en.wikipedia.org/wiki/16th_century
285,223,Santo Tomás,Pueblo De Santo Tomás,Santo Tomás,2, ,Sujeto,463,Depends on,223,0, ,,Acuña 1986;GeoNames_MX, ,-98.56882,19.90364,https://en.wikipedia.org/wiki/16th_century
269,225,San Antonio,Pueblo San Antonio,San Antonio,2, ,Sujeto,463,Depends on,225,0, ,,Acuña 1986;GeoNames_MX, ,-98.46822,19.72734,https://en.wikipedia.org/wiki/16th_century
273,226,San Bartolomé,Pueblo San Bartolomé,San Bartolomé Tepetates,2, ,Sujeto,463,Depends on,226,0, ,,Acuña 1986;GeoNames_MX, ,-98.55861,19.74056,https://en.wikipedia.org/wiki/16th_century
165,230,San Gabriel, ,San Gabriel (Azteca),1, ,Sujeto,463,Depends on,230,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-98.61472222,19.87916667,https://en.wikipedia.org/wiki/16th_century
279,231,San Jerónimo,Pueblo San Jerónimo,San Jerónimo,2, ,Sujeto,463,Depends on,231,0, ,,Acuña 1986;GeoNames_MX, ,-98.47478,19.81021,https://en.wikipedia.org/wiki/16th_century
280,233,San Marcos,Pueblo San Marcos,San Marcos,2, ,Sujeto,463,Depends on,233,0, ,,Acuña 1986;GeoNames_MX, ,-98.46724,19.83292,https://en.wikipedia.org/wiki/16th_century
276,234,San Miguel,Pueblo San Miguel,San Miguel de las Tunas,2, ,Sujeto,463,Depends on,234,0, ,,Acuña 1986;GeoNames_MX, ,-98.43575,19.78129,https://en.wikipedia.org/wiki/16th_century
270,235,San Salvador,Pueblo San Salvador,San Salvador,2, ,Sujeto,463,Depends on,235,0, ,,Acuña 1986;GeoNames_MX, ,-98.54333,19.72806,https://en.wikipedia.org/wiki/16th_century
274,236,San Sebastián,Pueblo San Sebastián,San Sebastián,2, ,Sujeto,463,Depends on,236,0, ,,Acuña 1986;GeoNames_MX_MX, ,-98.46984,19.74542,https://en.wikipedia.org/wiki/16th_century
286,237,Santa Ana,Pueblo Santa Ana,Santa Ana Chichicuautla,2, ,Sujeto,463,Depends on,237,0, ,,Acuña 1986;GeoNames_MX, ,-98,19.927778,https://en.wikipedia.org/wiki/16th_century
265,239,Santa Clara,Pueblo Santa Clara,Santa Clara,2, ,Sujeto,463,Depends on,239,0, ,,Acuña 1986;GeoNames_MX, ,-98.57778,19.69889,https://en.wikipedia.org/wiki/16th_century
278,240,Santa Cruz,Pueblo Santa Cruz,Ex Hacienda Santa Cruz,2, ,Sujeto,463,Depends on,240,0, ,,Acuña 1986;GeoNames_MX, ,-98.40044,19.800278,https://en.wikipedia.org/wiki/16th_century
264,243,Santiago,Pueblo Santiago,Santiago Tetlapayac,2, ,Sujeto,463,Depends on,243,0, ,,Acuña 1986;GeoNames_MX, ,-98.3325,19.69,https://en.wikipedia.org/wiki/16th_century
185,246,Puerto de la Veracruz, , ,1, ,Harbor,0, ,246,0, ,,Acuña 1986;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=485,-96.13352315,19.20458007,https://en.wikipedia.org/wiki/16th_century
153,248,Tampico,Puerto de Tampico,Pueblo Viejo  (Ciudad Cuauhtemoc),1, ,Harbor,0, ,248,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=485,-97.83472222,22.18333333,https://en.wikipedia.org/wiki/16th_century
321,250,Quauhtepeque, ,Ceiba Obscura (Peña del Águila),2, ,Sujeto,455,Depends on,250,487, ,,Acuña 1986;GeoNames_MX, ,-100.40059,18.97184,https://en.wikipedia.org/wiki/16th_century
21,251,Quauhtitlan,Cuauhtitlan,Cuautitlan,1, , ,0, ,251,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.17916667,19.66694444,https://en.wikipedia.org/wiki/16th_century
260,253,Quauhyocan San Marcos,Quacyocan;Quauhyocan;San Marcos Quauhyocan;San Marcos Quacyocan,San Marcos Nepantla,1, ,Sujeto,9,Depends on,253,0, ,,Acuña 1986;Carrasco 2011, ,-98.931111,19.666667,https://en.wikipedia.org/wiki/16th_century
101,255,Real De San Andrés, ,San Andres De Los Gama,1, ,Mining Camp,0, ,255,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-99.96888889,19.03694444,https://en.wikipedia.org/wiki/16th_century
249,256,Río de Toluca, ,Rio Lerma,1, ,River,260,Near,256,0, ,,Acuña 1986;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-99.50679,19.16385,https://en.wikipedia.org/wiki/16th_century
287,257,Río Zultepeque,Zultepeque,Río Chontalcoatlan,1,"Río que viene de Zultepeque, no se llama así",River,77,Near,257,0, ,,Acuña 1986;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-99.57782,18.66206,https://en.wikipedia.org/wiki/16th_century
154,258,Rio Cinapan, ,Rio Cutzamala,1, ,River,0, ,258,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-100.5990351,19.12508726,https://en.wikipedia.org/wiki/16th_century
155,259,Río Temazcaltepec,Río de Santo Tomás, ,1, ,River,0, ,259,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-100.042973,19.04314673,https://en.wikipedia.org/wiki/16th_century
209,260,Toluca, ,Toluca,1, ,Villa,0, ,260,0, ,,Acuña 1986;Google Maps;Tanck de Estrada 2005: Atlas 1800, ,-99.65722013,19.2915179,https://en.wikipedia.org/wiki/16th_century
208,262,Río Hueyatengo,Hueyatengo, ,1, ,River,0, ,262,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-100.1478588,18.89519774,https://en.wikipedia.org/wiki/16th_century
288,263,Río Jahualtzingo,Jahualtzingo,Río Chontalcoatlan,1,"Río que viene de Jahualtzingo, no se llama así",River,77,Near,263,0, ,,Acuña 1986;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-99.57782,18.66206,https://en.wikipedia.org/wiki/16th_century
156,266,Acatepec,S Francisco Acatepec;San Francisco Acatepec,Acatepec,1, , ,0, ,266,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.32027778,19.01111111,https://en.wikipedia.org/wiki/16th_century
12,267,Chiautla, ,Chiautla,1, , ,0, ,267,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.60361111,18.30027778,https://en.wikipedia.org/wiki/16th_century
157,268,Chilapa, ,Chilapa,1, , ,0, ,268,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.17666667,17.59861111,https://en.wikipedia.org/wiki/16th_century
207,271,Piaztlan, ,Piaxtla,1, , ,0, ,271,0, ,,Acuña 1986;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.25240486,18.20036947,https://en.wikipedia.org/wiki/16th_century
254,276,San Andrés, ,San Andrés Tomatlán,1, ,Barrio,99,Depends on,276,0, ,,Acuña 1986;GeoNames_MX, ,-99.10543,19.3274,https://en.wikipedia.org/wiki/16th_century
271,277,San Andrés  Oztocpachocan,San Andrés Oztolpachucan;San Andrés Oztoc-Pachocan,Santa María Palapa,2, ,Sujeto,327,Depends on,277,0, ,,Acuña 1986;Sanders and Evans 2001: 896, ,-98.84834,19.73589,https://en.wikipedia.org/wiki/16th_century
223,278,San Andrés Itztepec, ,Ixtepec,1, ,Estancia,188,Depends on,278,0, ,,Acuña 1986;GeoNames_MX, ,-99.71661,18.63898,https://en.wikipedia.org/wiki/16th_century
314,279,San Andrés Ocotzoc, ,San Andrés,2, ,Estancia,480,Depends on,279,0, ,,Acuña 1986;GeoNames_MX, ,-99.61139,18.64778,https://en.wikipedia.org/wiki/16th_century
232,281,San Andrés Zapotitlan, ,San Andrés Uno,2,Location established according to the text of the RG's,Estancia,209,Depends on,281,0, ,,Acuña 1986;GeoNames_MX, ,-99.680653,18.745058,https://en.wikipedia.org/wiki/16th_century
267,283,San Antonio Tlaxomolco,San Antonio Tlaxomulco,San Antonio de las Palmas,2, ,Sujeto,327,Depends on,283,0, ,,Acuña 1986;Sanders and Evans 2001: 896, ,-98.85684,19.71806,https://en.wikipedia.org/wiki/16th_century
138,284,San Bartolomé Atocpan, ,San Bartolomé Atocpan,1, ,Sujeto,472,Depends on,284,0, ,,Acuña 1986;Atlas 2010, ,-98.856667,19.836667,https://en.wikipedia.org/wiki/16th_century
255,285,San Bartolomé Quauhtlapechco, ,San Bartolo,1, ,Sujeto,9,Depends on,285,0, ,,Acuña 1986;Gibson 1964, ,-98.90215,19.65533,https://en.wikipedia.org/wiki/16th_century
137,287,San Cristóbal Culhuacatzingo,Cristóbal Culhuacatzinco,San Cristóbal Colhuacan,1, ,Sujeto,472,Depends on,287,0, ,,Acuña 1986;Google Maps;Google Earth;unikloc10gw, ,-98.822639,19.776958,https://en.wikipedia.org/wiki/16th_century
214,288,Santa Cruz Tezapoapan, ,Zapoapa,1, ,Estancia,482,Depends on,288,0, ,,Acuña 1986;GeoNames_MX, ,-99.66295,18.43568,https://en.wikipedia.org/wiki/16th_century
217,289,San Esteban Ahuazhuatepec, ,San Esteban,2,Located one league to the west from the cabecera.,Estancia,559,Depends on,289,0, ,01/01/1590 00:00:00,Acuña 1986;Gerhard 1972;Vazquez 1965: 29, ,-99.70705,18.53185,https://en.wikipedia.org/wiki/16th_century
312,291,San Felipe Apanco,San Felipe Apano,Coapango,2, ,Estancia,559,Depends on,291,0, ,,Acuña 1986;Armillas 1991, ,-99.55545,18.63386,https://en.wikipedia.org/wiki/16th_century
145,292,San Felipe Cuixteliuhcan, ,Hacienda de Ocuilixtlahuacán,1, ,Estancia,482,Depends on,292,0, ,,Acuña 1986;Atlas 2010, ,-99.686389,18.405,https://en.wikipedia.org/wiki/16th_century
106,293,San Felipe Zacatepec, ,Zacatepec,1, ,Sujeto,9,Depends on,293,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-98.78361111,19.84194444,https://en.wikipedia.org/wiki/16th_century
246,294,San Francisco, ,San Francisco Tetetla,1, ,Sujeto,483,Depends on,294,0, ,,Acuña 1986;The RG's Teotenango Map, ,-99.60141,19.11669,https://en.wikipedia.org/wiki/16th_century
293,295,San Francisco Ahuacatenamic,San Francisco Aguacatenango, ,2,Located 2 and a half leagues from the cabecera towards the southeast. Dissapeared,Estancia,3,Depends on,295,0, ,,Acuña 1986;Vazquez 1965: 27, ,-99.509199,18.479162,https://en.wikipedia.org/wiki/16th_century
229,296,San Francisco Chichila, ,Chichila,1, ,Estancia,480,Depends on,296,0, ,,Acuña 1986;GeoNames_MX, ,-99.65165,18.71315,https://en.wikipedia.org/wiki/16th_century
170,299,San Francisco Huilango, ,San Francisco Huilango,1, ,Sujeto,197,Depends on,299,0, ,,Acuña 1986;Atlas 2010, ,-98.583056,18.843333,https://en.wikipedia.org/wiki/16th_century
316,300,San Sebastián Mazaixtlahuacan, , ,1,Dissapeared. Located one and a half league to the north from the cabecera.,Estancia,77,Depends on,300,0, ,,Acuña 1986;Vazquez 1965: 35;Gerhard 1972, ,-99.575328,18.710111,https://en.wikipedia.org/wiki/16th_century
62,301,San Francisco Mazatlan, ,San Francisco Mazapa,1, ,Sujeto,327,Depends on,301,0, ,,Acuña 1986;Atlas 2010, ,-98.833889,19.690833,https://en.wikipedia.org/wiki/16th_century
306,303,San Francisco Texitlan, , ,2,Dissapeared. The Relación explains it is no longer than 1 legua far from the cabecera. According to García Pimentel it is half a league to the south from the cabecera.,Estancia,11,Depends on,303,0, ,,Acuña 1986;Vazquez 1965: 34, ,-99.544671,18.579769,https://en.wikipedia.org/wiki/16th_century
309,304,San Francisco Tlazontecpac,San Francisco Tlatzontecpan, San Francisco,2,Located one league to the north from the cabecera.,Estancia,559,Depends on,304,0, ,01/01/1590 00:00:00,Acuña 1986;Gerhard 1972;Vazquez 1965: 29, ,-99.662144,18.588497,https://en.wikipedia.org/wiki/16th_century
216,306,San Gabriel Xaloztoc, ,Xolostoc,1, ,Estancia,32,Depends on,306,0, ,,Acuña 1986;GeoNames_MX, ,-99.73333,18.51667,https://en.wikipedia.org/wiki/16th_century
311,307,San Gaspar Atzumpan, , ,2,Dissapeared. The Relación explains it is no longer than 1 legua far from the cabecera. Located one league to the east from the cabecera.,Estancia,11,Depends on,307,0, ,,Acuña 1986;Vazquez 1965: 34, ,-99.503908,18.603433,https://en.wikipedia.org/wiki/16th_century
233,308,San Gaspar Tepoznechicoyan, ,San Gaspar,2,Location established according to the text of the RG's,Estancia,209,Depends on,308,0, ,,Acuña 1986;GeoNames_MX, ,-99.547067,18.77629,https://en.wikipedia.org/wiki/16th_century
313,310,San Gaspar Teteltitlan, , ,1,Dissapeared. Located half a league to the south from the cabecera.,Estancia,77,Depends on,310,0, ,,Acuña 1986;Vazquez 1965: 35;Gerhard 1972, ,-99.578579,18.635715,https://en.wikipedia.org/wiki/16th_century
227,311,San Gaspar Tetzicapan, ,Tetzicapan,1, ,Estancia,188,Depends on,311,0, ,,Acuña 1986;GeoNames_MX, ,-99.763889,18.702222,https://en.wikipedia.org/wiki/16th_century
338,312,San Gaspar Zizipique, , ,2,Dissapeared,Sujeto,544,Depends on,312,0, ,30/12/1899 00:00:00,Acuña 1986;Pimentel 1897, ,-99.024132,19.898807,https://en.wikipedia.org/wiki/16th_century
140,313,San Gregorio Quauhtenco, ,San Gregorio,1, ,Estancia,77,Depends on,313,0, ,,Acuña 1986;Atlas 2010, ,-99.5925,18.628333,https://en.wikipedia.org/wiki/16th_century
215,315,San Jerónimo Aquiapan, ,Aquiapan,1, ,Estancia,32,Depends on,315,0, ,,Acuña 1986;GeoNames_MX, ,-99.67581,18.51215,https://en.wikipedia.org/wiki/16th_century
310,316,San José Tepozonaltitlan, , ,2,Dissapeared. The Relación explains it is no longer than 1 legua far from the cabecera. Located one league to the west from the cabecera.,Estancia,11,Depends on,316,0, ,,Acuña 1986;Vazquez 1965: 34, ,-99.584466,18.602885,https://en.wikipedia.org/wiki/16th_century
259,319,San Juan Atlatongo,San Juan Atlatonco,Santiago Atlatongo,1, ,Sujeto,9,Depends on,319,0, ,,Acuña 1986;Gibson 1964, ,-98.904022,19.666234,https://en.wikipedia.org/wiki/16th_century
256,320,San Juan Chicnahuatecapan,San Juan Chicnauhtecapan;San Juan Chicnahuatecapan,San Juanico,1, ,Sujeto,9,Depends on,320,0, ,,Acuña 1986;Mendez 2015, ,-98.897861,19.659728,https://en.wikipedia.org/wiki/16th_century
325,321,San Juan Cuyoa, , ,2,Dissapeared,Sujeto,472,Depends on,321,0, ,,Acuña 1986;Sanders and Evans 2001: 895, ,-98.89714,19.77808,https://en.wikipedia.org/wiki/16th_century
121,322,San Juan Cuzcatlan,Cuzcatlan,Coxcatlan,1, ,Estancia,505,Depends on,322,0, ,,Acuña 1986;Google Maps;Google Earth;unikloc10gw, ,-99.459803,18.495055,https://en.wikipedia.org/wiki/16th_century
181,323,San Juan de Tetela,Tetella;Tetela,Tetela Del Volcan,1, ,Cabecera,0, ,323,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-98.72944444,18.89194444,https://en.wikipedia.org/wiki/16th_century
290,324,San Juan Pololapan, , ,2,Located three leagues from the cabecera to the Southeast. Dissapeared,Estancia,446,Depends on,324,0, ,,Acuña 1986;Vazquez 1965: 27, ,-99.491899,18.402868,https://en.wikipedia.org/wiki/16th_century
136,325,San Juan Teacalco, ,Teacalco,1, ,Sujeto,472,Depends on,325,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-98.85305556,19.80388889,https://en.wikipedia.org/wiki/16th_century
228,326,San Juan Tecololtzingo, ,San Juan,2,Location established according to the text of the RG's,Estancia,209,Depends on,326,0, ,,Acuña 1986;GeoNames_MX, ,-99.77831,18.703684,https://en.wikipedia.org/wiki/16th_century
114,327,San Juan Teotihuacan,Teotihuacan;San Juan Teutihuacan,Teotihuacan,1, ,Cabecera,0, ,327,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-98.86083333,19.68972222,https://en.wikipedia.org/wiki/16th_century
329,328,San Juan Tepehuizco, ,Rancho Tepehuixco,2, ,Sujeto,9,Depends on,328,0, ,,Acuña 1986;GeoNames_MX, ,-98.87592,19.83705,https://en.wikipedia.org/wiki/16th_century
168,331,San Juan Texopan, ,Tejupa,1, , ,0, ,331,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.54,18.85388889,https://en.wikipedia.org/wiki/16th_century
305,333,San Juan Tlalcomulco, , ,2,Dissapeared. Located half a league to the north from the cabecera.,Estancia,559,Depends on,333,0, ,01/01/1590 00:00:00,Acuña 1986;Gerhard 1972;Vazquez 1965: 29, ,-99.643525,18.56928,https://en.wikipedia.org/wiki/16th_century
317,334,San Juan Tlaxichco, , ,2,Dissapeared,Sujeto,197,Depends on,334,0, ,,Acuña 1986;Davies 1968, ,-98.55999,18.80238,https://en.wikipedia.org/wiki/16th_century
263,335,San Juan Tlaylotlacan,San Juan Evangelista Tlaylotlacan,San Juan Evangelista,1, ,Sujeto,327,Depends on,335,0, ,,Acuña 1986;Sanders and Evans 2001: 896, ,-98.8813,19.6896,https://en.wikipedia.org/wiki/16th_century
258,337,San Lorenzo Atezcapan,Ejido de San Lorenzo,Ejido de San Lorenzo,2,Aztec Imperial Strategies (Sanders identifies San Lorezo Atezcapa in one area to the south of San Juan Teotihuacan),Sujeto,327,Depends on,337,0, ,,Acuña 1986;Allocated by research, ,-98.873056,19.665278,https://en.wikipedia.org/wiki/16th_century
318,338,San Lucas Colotzingo, ,Santa Teresa Tochimilco,2, ,Pueblo,197,Near,338,0, ,,Acuña 1986;Jarquin 1990,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.55524,18.88925,https://en.wikipedia.org/wiki/16th_century
169,340,San Lucas Tolantzingo, ,San Lucas Tulcingo,1, ,Sujeto,197,Depends on,340,0, ,,Acuña 1986;Atlas 2010, ,-98.594167,18.837222,https://en.wikipedia.org/wiki/16th_century
108,341,San Luis Xiuhquemecan,San Luis Xiuhquemeccan,Tecuahutitlan,1, ,Sujeto,327,Depends on,341,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-98.88333333,19.76666667,https://en.wikipedia.org/wiki/16th_century
304,342,San Marcos Quauhxomolco, , ,2,Dissapeared. Located half league to the North East.,Estancia,559,Depends on,342,0, ,01/01/1590 00:00:00,Acuña 1986;Gerhard 1972, ,-99.63217,18.56016,https://en.wikipedia.org/wiki/16th_century
95,343,San Marcos Tecozauhyan, ,Jocotitlan,1, ,Estancia,209,Depends on,343,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.75166667,18.6925,https://en.wikipedia.org/wiki/16th_century
272,346,San Martin  Tonala,San Martín Tonala;San Agustín Tonala,Cerro Tonalan,2, ,Sujeto,9,Depends on,346,0, ,,Acuña 1986;Allocated by research, ,-98.90778,19.73629,https://en.wikipedia.org/wiki/16th_century
159,347,San Agustín Aticpac,San Martín Aticpac;San Agustín,San Agustín Aticpac,1, ,Sujeto,9,Depends on,347,0, ,,Acuña 1986;Google Maps;Google Earth;unikloc10gw, ,-98.896666,19.7321,https://en.wikipedia.org/wiki/16th_century
322,354,San Mateo, ,San Francisco Putla,2, ,Sujeto,483,Depends on,354,0, ,,Acuña 1986;The RG's Teotenango Map, ,-99.634536,19.125818,https://en.wikipedia.org/wiki/16th_century
172,355,San Mateo Hueycalco, ,San Mateo,1, ,Sujeto,478,Depends on,355,0, ,,Acuña 1986;GeoNames_Mx, ,-99.13923,19.89868,https://en.wikipedia.org/wiki/16th_century
84,357,San Mateo Teopancalco, ,Teopancala,1, ,Sujeto,472,Depends on,357,0, ,,Acuña 1986;GeoNames_MX, ,-98.88664,19.80705,https://en.wikipedia.org/wiki/16th_century
183,361,San Miguel Ahuacomoluca, ,San Miguel Aguacomulican,1, , ,0, ,361,0, ,,Acuña 1986;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.550278,18.822222,https://en.wikipedia.org/wiki/16th_century
331,362,San Miguel, ,San Miguel Balderas,1, ,Sujeto,483,Depends on,362,0, ,,Acuña 1986;The RG's Teotenango Map, ,-99.6526,19.1081,https://en.wikipedia.org/wiki/16th_century
298,363,San Miguel Ichpochquilan, , ,2,Dissapeared. Located 3/4 of a league to the south of the cabecera.,Estancia,559,Depends on,363,0, ,01/01/1590 00:00:00,Acuña 1986;Gerhard 1972;Vazquez 1965: 29, ,-99.644713,18.520066,https://en.wikipedia.org/wiki/16th_century
295,364,San Miguel Tecomahueyecan, , ,2,Located two leagues from the cabecera to the west. Dissapeared,Estancia,32,Depends on,364,0, ,,Acuña 1986;Vazquez 1965: 29, ,-99.739214,18.50697,https://en.wikipedia.org/wiki/16th_century
323,366,San Miguel Tlalquac, , ,1,Dissapeared,Sujeto,327,Depends on,366,0, ,,Acuña 1986;Sanders and Evans 2001: 896, ,-98.85824,19.63824,https://en.wikipedia.org/wiki/16th_century
92,367,San Miguel Xumetla,San Miguel Xumetla,Xometla,1, ,Sujeto,9,Depends on,367,0, ,,Acuña 1986;Google Maps;Google Earth;unikloc10gw, ,-98.882107,19.643505,https://en.wikipedia.org/wiki/16th_century
291,368,San Miguel Zapotitlan, , ,1,Dissapeared. Located to leagues from the cabecera to the south,Estancia,505,Depends on,368,0, ,,Acuña 1986;Vazquez 1965: 30, ,-99.4952,18.426601,https://en.wikipedia.org/wiki/16th_century
262,369,San Nicolás Tenextlacotla, ,Tenexcaluca,1, ,Sujeto,9,Depends on,369,0, ,,Acuña 1986;Gibson 1964, ,-98.90721,19.68787,https://en.wikipedia.org/wiki/16th_century
225,370,San Pablo Contlalco, ,Contlalco,2, ,Estancia,446,Depends on,370,0, ,,Acuña 1986;Vazquez 1965: 27, ,-99.445,18.65972,https://en.wikipedia.org/wiki/16th_century
336,374,San Pedro Tapalcapan,Tapalcapan San Pedro,El Chopo,2, ,Sujeto,544,Depends on,374,0, ,30/12/1899 00:00:00,Acuña 1986;Pimentel 1897, ,-99.012711,19.863829,https://en.wikipedia.org/wiki/16th_century
163,375,San Pedro Tepetitlan, ,San Pedro Tepetitlán,1, ,Sujeto,9,Depends on,375,0, ,,Acuña 1986;Atlas 2010, ,-98.890556,19.629722,https://en.wikipedia.org/wiki/16th_century
301,377,San Pedro Texoxoco, , ,2,Dissapeared. Located half a league to the west from the cabecera.,Estancia,559,Depends on,377,0, ,01/01/1590 00:00:00,Acuña 1986;Gerhard 1972;Vazquez 1965: 29, ,-99.665699,18.546335,https://en.wikipedia.org/wiki/16th_century
292,378,San Pedro Tlacotitlan,San Pedro Tlacotítlan, ,2,Dissapeared. Located one league to the south from the cabecera.,Estancia,505,Depends on,378,0, ,,Acuña 1986;Vazquez 1965: 31, ,-99.499533,18.460773,https://en.wikipedia.org/wiki/16th_century
324,380,San Pedro Tlaxican,San Pedro Tlahuican, ,2,Dissapeared. Sanders & Evans 2001 relate this place to Rancho Tlajinga.,Sujeto,327,Depends on,380,0, ,,Acuña 1986;Sanders and Evans 2001: 896, ,-98.851591,19.668294,https://en.wikipedia.org/wiki/16th_century
275,382,San Pedro Tulamihuacan, ,Rancho Mihuacán,2, ,Sujeto,472,Depends on,382,0, ,,Acuña 1986;Sanders and Evans 2001, ,-98.875278,19.778333,https://en.wikipedia.org/wiki/16th_century
315,383,San Pedro Xilotepec, ,Rancho San Pedro,2, ,Estancia,480,Depends on,383,0, ,,Acuña 1986;GeoNames_MX, ,-99.65357,18.65165,https://en.wikipedia.org/wiki/16th_century
127,385,San Sebastián Chimalpa,San Sebastián Chimalpan,Chimalpa (Kilómetro 34 Carretera México-Tulancingo),1, ,Sujeto,327,Depends on,385,0, ,,Acuña 1986;Atlas 2010, ,-98.784167,19.725278,https://en.wikipedia.org/wiki/16th_century
